race_id,レース,馬名,AREru指数,順位
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,ホーリーステップ,10.96,1
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,ブライトエンジェル,6.15,2
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,シャンデリュイーズ,5.15,3
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,ベルセクレト,5.0,4
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,ロージーキャンドル,3.85,5
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,アリディプラチノ,2.21,6
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,ドゥボヌール,1.73,7
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,ヨウリンケイジュ,1.35,8
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,フルフィルメント,1.32,9
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,ビケイムフリー,0.81,10
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,リザレクティア,0.0,11
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,コースタルロード,0.0,12
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,ピンクパンサー,0.0,13
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,テンタイムトップ,0.0,14
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,ハクサンテドリガワ,0.0,15
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,ティグリス,0.0,16
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,マルモズイルバア,0.0,17
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060220260712/4D,2,タガノプディング,20.48,1
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060220260712/4D,2,クロカミジョウ,13.97,2
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060220260712/4D,2,キャッチアシーフ,12.5,3
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060220260712/4D,2,キタノプレミアム,10.0,4
