今回レース,馬名,年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手,斤量,馬体重,タイム,着差,horse_id,日付,race_id
1,ロージーキャンドル,2026年5月26日,金沢,加賀医王山賞,ダ1500,良,7.0,,3,和田 陽希,,471,1:40.2,,,,
1,マルモズイルバア,2026年5月26日,金沢,加賀医王山賞,ダ1500,良,7.0,,6,加藤 翔馬,,409,1:41.6,,,,
2,ゼンノトヨタマヒメ,2026年3月4日,川崎,アクアF賞,ダ1400,不良,11.0,,8,笹川 翼,,439,1:34.4,,,,
2,ナブッコ,2026年5月20日,名古,メロン賞,ダ1500,良,11.0,,4,渡邊 竜也,,492,1:36.5,,,,
2,ローズカリス,2026年7月4日,小倉,雲仙特別,ダ1000,不良,12.0,2.0,1,田口 貫太,,424,56.7,,,,
2,ローズカリス,2026年4月5日,阪神,バイオレット,ダ1400,重,12.0,11.0,10,田口 貫太,,422,1:23.9,,,,
2,ローズカリス,2026年3月7日,阪神,Fレビュー,芝1400,良,18.0,11.0,16,田口 貫太,,428,1:22.0,,,,
2,ローズカリス,2025年12月14日,阪神,阪神JF,芝1600,良,18.0,17.0,13,田口 貫太,,430,1:34.0,,,,
2,ローズカリス,2025年11月27日,園田,兵庫JGP,ダ1400,稍重,12.0,,5,田口 貫太,,433,1:31.1,,,,
2,ローズカリス,2025年10月18日,京都,なでしこ賞,ダ1400,稍重,7.0,4.0,1,田口 貫太,,434,1:24.7,,,,
2,ローズカリス,2025年9月27日,阪神,ヤマボウシ賞,ダ1400,良,8.0,5.0,2,田口 貫太,,438,1:25.5,,,,
2,ローズカリス,2025年7月20日,小倉,2歳未勝利,ダ1000,稍重,11.0,3.0,1,田口 貫太,,434,58.4,,,,
2,ローズカリス,2025年7月5日,小倉,2歳新馬,芝1200,良,8.0,3.0,4,田口 貫太,,434,1:10.7,,,,
4,フェブリノ,2026年5月26日,浦和,Tトップ特別,ダ1400,稍重,11.0,,4,和田 譲治,,396,1:30.9,,,,
4,フェブリノ,2026年1月24日,小倉,萌黄賞,芝1200,良,12.0,11.0,7,松若 風馬,,400,1:08.4,,,,
5,キラーアビリティ,2025年2月22日,サウ,ネオムターフ,芝2100,良,10.0,,10,O.マーフィー,,計不,2:09.1,,,,
5,キラーアビリティ,2024年11月15日,巴,バーレーンT,芝2000,良,12.0,,8,O.マーフィー,,計不,2:04.4,,,,
5,キラーアビリティ,2024年9月22日,中山,オールカマー,芝2200,良,15.0,11.0,10,団野 大成,,482,2:12.4,,,,
5,キラーアビリティ,2024年3月31日,阪神,大阪杯,芝2000,良,16.0,14.0,15,北村 友一,,478,2:00.2,,,,
5,キラーアビリティ,2024年2月24日,サウ,ネオムターフ,芝2100,良,13.0,,2,C.デムーロ,,計不,2:07.2,,,,
5,キラーアビリティ,2023年12月9日,中京,中日新聞杯,芝2000,良,17.0,8.0,4,B.ムルザバエフ,,478,1:59.0,,,,
5,キラーアビリティ,2023年10月21日,東京,富士S,芝1600,良,12.0,10.0,12,横山 武史,,470,1:33.1,,,,
5,キラーアビリティ,2023年5月7日,新潟,新潟大賞典,芝2000,不良,16.0,7.0,5,北村 友一,,474,2:05.8,,,,
5,キラーアビリティ,2023年4月2日,阪神,大阪杯,芝2000,良,16.0,11.0,13,団野 大成,,474,1:58.3,,,,
5,キラーアビリティ,2023年2月12日,阪神,京都記念,芝2200,良,13.0,3.0,5,B.ムルザバエフ,,474,2:11.8,,,,
5,キラーアビリティ,2022年12月10日,中京,中日新聞杯,芝2000,良,18.0,5.0,1,団野 大成,,470,1:59.4,,,,
5,キラーアビリティ,2022年11月6日,東京,アルゼンチン,芝2500,良,18.0,2.0,8,C.デムーロ,,470,2:31.6,,,,
5,キラーアビリティ,2022年5月29日,東京,東京優駿,芝2400,良,18.0,8.0,6,横山 武史,,460,2:22.9,,,,
5,キラーアビリティ,2022年4月17日,中山,皐月賞,芝2000,良,18.0,4.0,13,横山 武史,,468,2:00.6,,,,
5,キラーアビリティ,2021年12月28日,中山,ホープフルS,芝2000,良,15.0,2.0,1,横山 武史,,468,2:00.6,,,,
5,キラーアビリティ,2021年10月30日,阪神,萩ステークス,芝1800,良,6.0,1.0,2,岩田 望来,,470,1:48.5,,,,
5,キラーアビリティ,2021年8月28日,小倉,2歳未勝利,芝2000,良,9.0,1.0,1,岩田 望来,,466,1:59.5,,,,
5,キラーアビリティ,2021年6月27日,阪神,2歳新馬,芝1800,良,11.0,2.0,5,C.ルメール,,466,1:48.4,,,,
6,フリード,2022年12月18日,中山,舞浜特別,ダ1200,稍重,16.0,10.0,15,丹内 祐次,,508,1:12.8,,,,
6,フリード,2022年7月16日,小倉,糸島特別,ダ1000,重,14.0,1.0,5,川田 将雅,,504,58.5,,,,
6,フリード,2021年11月20日,福島,西郷特別,ダ1150,良,16.0,2.0,5,丹内 祐次,,504,1:08.5,,,,
6,フリード,2021年10月23日,新潟,新津特別,ダ1200,重,14.0,3.0,2,丹内 祐次,,506,1:10.7,,,,
6,フリード,2021年10月10日,新潟,妙高特別,ダ1200,良,15.0,3.0,5,津村 明秀,,506,1:10.9,,,,
6,フリード,2021年8月28日,小倉,釜山S,ダ1000,良,12.0,1.0,8,斎藤 新,,506,59.0,,,,
6,フリード,2021年7月10日,小倉,3歳上1勝クラス,ダ1000,重,14.0,1.0,1,斎藤 新,,500,56.8,,,,
6,フリード,2021年6月12日,中京,3歳上1勝クラス,ダ1200,良,15.0,3.0,2,斎藤 新,,494,1:11.5,,,,
6,フリード,2021年5月22日,中京,3歳1勝クラス,ダ1200,重,16.0,5.0,中止,津村 明秀,,498,,,,,
6,フリード,2021年4月10日,阪神,3歳1勝クラス,芝1200,良,11.0,2.0,5,和田 竜二,,502,1:08.5,,,,
6,フリード,2021年3月14日,阪神,Fレビュー,芝1400,良,18.0,17.0,17,国分 優作,,494,1:22.0,,,,
6,フリード,2020年11月7日,阪神,ファンタジー,芝1400,良,12.0,8.0,11,和田 竜二,,486,1:21.5,,,,
6,フリード,2020年9月6日,小倉,小倉2歳S,芝1200,重,10.0,3.0,5,和田 竜二,,482,1:10.8,,,,
6,フリード,2020年8月16日,小倉,2歳未勝利,芝1200,良,16.0,7.0,1,川田 将雅,,476,1:07.5,,,,
6,フリード,2020年7月18日,阪神,2歳新馬,芝1400,良,17.0,14.0,8,国分 優作,,476,1:25.7,,,,
7,ジェバーダ,2025年11月23日,京都,3歳上1勝クラス,ダ1400,良,16.0,15.0,16,北村 友一,,504,2:03.7,,,,
7,ジェバーダ,2025年7月27日,中京,3歳上1勝クラス,ダ1400,良,12.0,9.0,8,田山 旺佑,,494,1:26.3,,,,
7,メイショウオグマ,2026年4月19日,阪神,4歳上1勝クラス,ダ1800,良,11.0,4.0,6,国分 恭介,,484,1:53.5,,,,
7,メイショウオグマ,2026年3月29日,阪神,4歳上1勝クラス,ダ1800,良,15.0,1.0,6,国分 恭介,,488,1:54.3,,,,
7,メイショウオグマ,2026年3月7日,阪神,4歳上1勝クラス,ダ1800,稍重,8.0,2.0,4,国分 恭介,,490,1:53.4,,,,
7,メイショウオグマ,2025年12月20日,中京,3歳上1勝クラス,ダ1800,稍重,16.0,2.0,5,国分 恭介,,492,1:54.9,,,,
7,メイショウオグマ,2025年12月6日,阪神,3歳上1勝クラス,ダ1800,良,14.0,9.0,2,国分 恭介,,496,1:53.7,,,,
7,メイショウオグマ,2025年11月16日,福島,3歳上1勝クラス,ダ1700,良,15.0,10.0,3,国分 恭介,,496,1:46.5,,,,
7,メイショウオグマ,2025年6月15日,阪神,3歳上1勝クラス,ダ1800,重,16.0,12.0,6,国分 恭介,,492,1:52.8,,,,
7,メイショウオグマ,2025年5月25日,新潟,4歳上1勝クラス,ダ1800,稍重,15.0,9.0,7,国分 恭介,,490,1:54.2,,,,
7,メイショウオグマ,2025年5月3日,新潟,4歳上1勝クラス,ダ1800,稍重,11.0,6.0,5,国分 恭介,,492,1:55.4,,,,
7,メイショウオグマ,2024年5月11日,京都,4歳上1勝クラス,ダ1800,良,14.0,9.0,中止,田口 貫太,,508,,,,,
7,メイショウオグマ,2023年10月8日,京都,3歳上1勝クラス,ダ1800,良,13.0,10.0,10,古川 吉洋,,514,1:54.2,,,,
7,メイショウオグマ,2023年9月24日,阪神,3歳上1勝クラス,ダ1800,良,12.0,10.0,11,古川 吉洋,,518,1:55.1,,,,
7,メイショウオグマ,2023年8月20日,小倉,3歳上1勝クラス,ダ1700,良,15.0,4.0,11,松山 弘平,,522,1:47.4,,,,
7,リアルペガサス,2025年12月14日,中京,3歳上1勝クラス,ダ1800,稍重,15.0,6.0,9.0,和田 陽希,,464.0,1:55.8,,,,
7,リアルペガサス,2025年12月6日,中京,3歳上1勝クラス,ダ1800,良,16.0,4.0,7.0,和田 陽希,,462.0,1:55.1,,,,
7,リアルペガサス,2025年11月9日,京都,3歳上1勝クラス,ダ1800,重,16.0,13.0,8.0,幸 英明,,464.0,1:50.9,,,,
7,リアルペガサス,2025年10月25日,京都,3歳上1勝クラス,ダ1800,良,11.0,7.0,6.0,田口 貫太,,464.0,1:53.5,,,,
7,リアルペガサス,2025年6月15日,阪神,3歳上1勝クラス,ダ1800,重,16.0,9.0,10.0,田口 貫太,,454.0,1:53.5,,,,
7,リアルペガサス,2025年5月24日,京都,4歳上1勝クラス,ダ1800,稍重,16.0,3.0,4.0,田口 貫太,,450.0,1:52.4,,,,
7,リアルペガサス,2025年5月10日,京都,4歳上1勝クラス,ダ1800,重,8.0,6.0,3.0,田口 貫太,,452.0,1:51.9,,,,
7,リアルペガサス,2025年4月20日,阪神,4歳上1勝クラス,ダ1800,良,13.0,6.0,6.0,田口 貫太,,450.0,1:55.4,,,,
7,リアルペガサス,2025年3月27日,,JRAへ転入,,,,,,,,,,,,,
7,リアルペガサス,2025年3月17日,名古,チューリップ特別,ダ1700,不良,11.0,1.0,1.0,友森 翔太郎,,469.0,1:50.1,,,,
7,リアルペガサス,2025年2月28日,名古,フリージア特別,ダ1700,良,9.0,3.0,2.0,宮下 瞳,,476.0,1:50.9,,,,
7,リアルペガサス,2025年2月12日,名古,清須特別,ダ1500,良,10.0,1.0,1.0,宮下 瞳,,477.0,1:35.5,,,,
7,リアルペガサス,2025年1月15日,名古,囲炉裏特別,ダ1500,良,8.0,1.0,1.0,宮下 瞳,,471.0,1:36.0,,,,
7,リアルペガサス,2025年1月2日,名古,新春盃(P),ダ2000,良,12.0,2.0,2.0,宮下 瞳,,468.0,2:11.1,,,,
7,リアルペガサス,2024年12月3日,名古,へびつかい座特別,ダ1500,良,12.0,1.0,2.0,宮下 瞳,,470.0,1:36.2,,,,
7,リアルペガサス,2024年11月22日,名古,B5組,ダ1700,良,11.0,2.0,1.0,宮下 瞳,,470.0,1:50.8,,,,
7,リアルペガサス,2024年11月1日,名古,B7組,ダ1700,稍重,12.0,2.0,1.0,宮下 瞳,,470.0,1:50.6,,,,
7,リアルペガサス,2024年10月21日,名古,C3組,ダ1500,良,12.0,1.0,3.0,宮下 瞳,,472.0,1:36.3,,,,
7,リアルペガサス,2024年8月22日,,JRAより転出,,,,,,,,,,,,,
7,リアルペガサス,2024年8月18日,札幌,3歳未勝利,ダ1700,良,14.0,6.0,7.0,川端 海翼,,460.0,1:49.7,,,,
7,リアルペガサス,2024年8月3日,札幌,3歳未勝利,ダ1700,良,14.0,4.0,4.0,菱田 裕二,,456.0,1:47.8,,,,
7,リアルペガサス,2024年7月20日,札幌,3歳未勝利,ダ1700,良,14.0,6.0,2.0,菱田 裕二,,456.0,1:47.6,,,,
7,リアルペガサス,2024年6月9日,京都,3歳未勝利,ダ1800,稍重,16.0,3.0,9.0,田口 貫太,,456.0,1:55.0,,,,
7,リアルペガサス,2023年12月24日,阪神,2歳未勝利,ダ1800,良,16.0,4.0,4.0,田口 貫太,,452.0,1:56.7,,,,
7,リアルペガサス,2023年12月9日,阪神,2歳新馬,ダ1800,良,9.0,6.0,4.0,田口 貫太,,450.0,1:57.0,,,,
7,セルジュバローズ,2026年6月28日,小倉,3歳上1勝クラス,ダ1700,稍重,16.0,6.0,15,吉村 誠之助,,510,1:48.9,,,,
7,キアヌ,2026年6月21日,阪神,3歳上1勝クラス,ダ1400,重,16.0,16.0,12,小崎 綾也,,500,1:25.5,,,,
7,キアヌ,2025年10月4日,京都,3歳上1勝クラス,ダ1400,不良,16.0,13.0,11,酒井 学,,502,1:24.0,,,,
7,キアヌ,2024年11月23日,東京,カトレアS,ダ1600,稍重,16.0,11.0,15,小崎 綾也,,504,1:39.1,,,,
7,ヴィエントデコラ,2026年5月2日,京都,ユニコーンS,ダ1900,稍重,12.0,10.0,11,浜中 俊,,444,1:59.9,,,,
7,テーオーノーベル,2026年2月28日,阪神,4歳上1勝クラス,ダ1400,良,16.0,11.0,10,田山 旺佑,,486,1:25.9,,,,
7,テーオーノーベル,2026年2月21日,阪神,4歳上1勝クラス,ダ1400,良,16.0,8.0,8,菱田 裕二,,488,1:26.5,,,,
7,テーオーノーベル,2026年2月7日,小倉,4歳上1勝クラス,ダ1700,良,12.0,5.0,6,国分 恭介,,480,1:46.2,,,,
7,テーオーノーベル,2025年12月14日,中京,3歳上1勝クラス,ダ1800,稍重,15.0,4.0,8,柴田 裕一郎,,480,1:55.8,,,,
7,テーオーノーベル,2025年11月24日,福島,3歳上1勝クラス,ダ1700,良,15.0,12.0,5,柴田 裕一郎,,482,1:47.4,,,,
7,テーオーノーベル,2025年9月20日,阪神,3歳上1勝クラス,ダ1400,良,16.0,10.0,8,菱田 裕二,,482,1:25.6,,,,
7,テーオーノーベル,2025年9月4日,園田,甲山特別,ダ1400,良,8.0,,1,菱田 裕二,,487,1:30.2,,,,
7,ニシノミチアキ,2026年4月19日,阪神,4歳上1勝クラス,ダ1800,良,11.0,9.0,9,池添 謙一,,480,1:54.5,,,,
7,ニシノミチアキ,2026年2月15日,小倉,4歳上1勝クラス,ダ2400,稍重,15.0,7.0,13,丸山 元気,,496,2:38.8,,,,
7,ニシノミチアキ,2026年1月17日,京都,4歳上1勝クラス,ダ1800,良,8.0,4.0,4,池添 謙一,,496,1:54.2,,,,
7,ニシノミチアキ,2025年12月13日,中京,3歳上1勝クラス,ダ1900,良,12.0,5.0,3,池添 謙一,,502,2:01.6,,,,
7,ニシノミチアキ,2025年11月15日,京都,3歳上1勝クラス,ダ1800,良,16.0,10.0,5,池添 謙一,,494,1:52.6,,,,
7,ニシノミチアキ,2025年10月25日,京都,3歳上1勝クラス,ダ1800,良,11.0,9.0,8,池添 謙一,,494,1:54.1,,,,
7,エアフォースワン,2025年1月19日,中京,4歳上1勝クラス,ダ1800,良,10.0,4.0,3,菱田 裕二,,484,1:53.2,,,,
7,エアフォースワン,2024年10月5日,京都,3歳上1勝クラス,ダ1800,稍重,10.0,6.0,3,幸 英明,,478,1:53.4,,,,
7,エアフォースワン,2024年9月14日,中京,3歳上1勝クラス,ダ1900,良,13.0,4.0,3,幸 英明,,470,2:00.5,,,,
7,エアフォースワン,2024年8月24日,中京,3歳上1勝クラス,ダ1800,良,13.0,3.0,3,幸 英明,,472,1:54.4,,,,
7,エアフォースワン,2024年8月10日,中京,3歳上1勝クラス,ダ1800,良,15.0,7.0,4,幸 英明,,478,1:53.3,,,,
7,エアフォースワン,2024年7月20日,小倉,3歳上1勝クラス,ダ1700,重,15.0,7.0,3,幸 英明,,482,1:44.6,,,,
7,エアフォースワン,2024年1月7日,京都,4歳上1勝クラス,ダ1900,良,13.0,7.0,3,菱田 裕二,,466,2:01.7,,,,
7,エアフォースワン,2023年12月17日,阪神,3歳上1勝クラス,ダ1800,稍重,9.0,7.0,6,幸 英明,,466,1:55.8,,,,
7,エアフォースワン,2023年12月2日,阪神,3歳上1勝クラス,ダ1800,良,10.0,6.0,3,幸 英明,,466,1:54.6,,,,
7,エアフォースワン,2023年11月19日,京都,3歳上1勝クラス,ダ1900,稍重,15.0,8.0,4,幸 英明,,470,2:00.5,,,,
7,エアフォースワン,2023年11月4日,福島,3歳上1勝クラス,ダ2400,良,11.0,4.0,5,古川 吉洋,,464,2:35.7,,,,
7,エアフォースワン,2023年10月18日,名古,マース賞,ダ2100,良,10.0,,2,岡部 誠,,473,2:16.8,,,,
7,エアフォースワン,2023年2月26日,小倉,4歳上1勝クラス,ダ1700,稍重,16.0,6.0,9,菱田 裕二,,454,1:47.1,,,,
7,エアフォースワン,2023年2月5日,中京,4歳上1勝クラス,ダ1800,良,9.0,3.0,3,角田 大河,,460,1:55.1,,,,
7,エアフォースワン,2023年1月15日,小倉,4歳上1勝クラス,ダ1700,重,16.0,6.0,6,菱田 裕二,,458,1:44.1,,,,
7,エアフォースワン,2022年12月18日,中京,3歳上1勝クラス,ダ1800,良,10.0,4.0,4,菱田 裕二,,462,1:56.3,,,,
7,エアフォースワン,2022年11月26日,阪神,3歳上1勝クラス,ダ2000,稍重,9.0,7.0,5,菱田 裕二,,460,2:07.5,,,,
7,エアフォースワン,2022年11月13日,福島,3歳上1勝クラス,ダ1700,良,15.0,7.0,7,菊沢 一樹,,458,1:47.7,,,,
7,エアフォースワン,2022年10月26日,名古,マース賞,ダ1500,良,10.0,,3,菱田 裕二,,465,1:35.1,,,,
7,エアフォースワン,2022年7月3日,小倉,3歳上1勝クラス,ダ1700,良,12.0,5.0,11,幸 英明,,452,1:47.0,,,,
7,エアフォースワン,2022年6月5日,中京,3歳上1勝クラス,ダ1800,良,12.0,10.0,5,古川 吉洋,,458,1:54.2,,,,
7,エアフォースワン,2022年5月22日,中京,鳳雛S,ダ1800,良,10.0,7.0,8,古川 吉洋,,458,1:54.6,,,,
7,エアフォースワン,2022年2月20日,小倉,3歳未勝利,ダ1700,重,15.0,3.0,1,菱田 裕二,,452,1:46.8,,,,
7,エアフォースワン,2022年1月29日,中京,3歳未勝利,ダ1900,良,11.0,4.0,3,国分 恭介,,456,2:02.8,,,,
7,エアフォースワン,2022年1月8日,中京,3歳未勝利,ダ1800,良,14.0,7.0,7,国分 恭介,,456,1:56.4,,,,
7,エアフォースワン,2021年12月26日,阪神,2歳未勝利,ダ1800,良,16.0,3.0,9,国分 恭介,,460,1:58.5,,,,
7,エアフォースワン,2021年10月31日,阪神,2歳未勝利,ダ1800,良,12.0,3.0,2,国分 恭介,,452,1:55.6,,,,
7,エアフォースワン,2021年10月9日,阪神,2歳未勝利,ダ1800,良,11.0,4.0,3,国分 恭介,,458,1:54.7,,,,
7,エアフォースワン,2021年9月20日,中京,2歳新馬,ダ1400,稍重,13.0,8.0,3,国分 恭介,,458,1:27.1,,,,
8,ペイシャシス,2026年5月23日,京都,メルボルンT,芝1600,良,11.0,6.0,4,酒井 学,,396,1:33.2,,,,
8,ペイシャシス,2026年4月26日,東京,フローラS,芝2000,良,12.0,12.0,8,北村 宏司,,396,2:00.0,,,,
8,コンバットペスカ,2026年6月28日,小倉,3歳上1勝クラス,芝1800,良,9.0,7.0,3,国分 優作,,468.0,1:47.6,,,,
8,コンバットペスカ,2026年3月28日,中京,4歳上1勝クラス,芝1600,良,15.0,,取消,永島 まなみ,,,,,,,
8,コンバットペスカ,2025年12月13日,中京,3歳上1勝クラス,ダ1800,良,16.0,10.0,16,和田 陽希,,458.0,1:56.7,,,,
8,コンバットペスカ,2025年9月7日,札幌,3歳上1勝クラス,芝1800,稍重,13.0,6.0,8,和田 陽希,,462.0,1:52.4,,,,
8,コンバットペスカ,2025年8月23日,札幌,3歳上1勝クラス,芝1800,稍重,13.0,4.0,8,戸崎 圭太,,458.0,1:50.5,,,,
8,コンバットペスカ,2025年7月13日,小倉,3歳上1勝クラス,芝1800,良,16.0,6.0,9,田口 貫太,,454.0,1:50.0,,,,
8,コンバットペスカ,2025年4月19日,福島,桑折特別,芝2000,良,16.0,8.0,6,古川 吉洋,,442.0,2:00.4,,,,
8,コンバットペスカ,2025年2月2日,小倉,4歳上1勝クラス,芝2000,重,18.0,16.0,9,丸山 元気,,452.0,2:03.0,,,,
8,コンバットペスカ,2024年7月13日,小倉,3歳上1勝クラス,ダ1700,良,16.0,6.0,16,幸 英明,,452.0,1:49.4,,,,
8,コンバットペスカ,2024年6月23日,京都,3歳上1勝クラス,ダ1800,不良,15.0,6.0,10,幸 英明,,466.0,1:52.4,,,,
8,コンバットペスカ,2024年5月5日,京都,3歳1勝クラス,ダ1800,良,16.0,7.0,中止,浜中 俊,,464.0,,,,,
8,コンバットペスカ,2023年12月10日,阪神,2歳新馬,芝2000,良,8.0,,取消,藤岡 康太,,,,,,,
8,エレガンシア,2026年6月28日,小倉,3歳上1勝クラス,芝1800,良,9.0,6.0,7,富田 暁,,446,1:47.8,,,,
8,エレガンシア,2026年5月23日,新潟,4歳上1勝クラス,ダ1800,稍重,15.0,6.0,12,石田 拓郎,,446,1:55.2,,,,
8,エレガンシア,2026年3月29日,中京,4歳上1勝クラス,芝2200,良,13.0,7.0,10,松山 弘平,,438,2:12.6,,,,
8,エレガンシア,2026年3月8日,阪神,4歳上1勝クラス,芝2000,良,9.0,2.0,4,松山 弘平,,444,2:01.6,,,,
8,エレガンシア,2026年2月7日,小倉,4歳上1勝クラス,芝2000,稍重,18.0,3.0,7,鷲頭 虎太,,446,2:01.9,,,,
8,エレガンシア,2025年12月14日,中京,3歳上1勝クラス,芝2000,稍重,18.0,6.0,2,鷲頭 虎太,,442,2:01.2,,,,
8,エレガンシア,2025年11月22日,福島,3歳上1勝クラス,芝2000,良,16.0,12.0,7,吉田 豊,,442,1:59.0,,,,
8,エレガンシア,2025年8月23日,札幌,3歳上1勝クラス,芝1800,稍重,13.0,,除外,武 豊,,436,,,,,
8,エレガンシア,2025年8月3日,札幌,3歳上1勝クラス,芝2000,良,11.0,7.0,6,鮫島 克駿,,440,2:01.1,,,,
8,エレガンシア,2025年7月13日,小倉,3歳上1勝クラス,芝1800,良,16.0,4.0,10,松山 弘平,,438,1:50.2,,,,
8,エレガンシア,2025年5月3日,京都,矢車賞,芝2200,良,6.0,6.0,5,鮫島 克駿,,436,2:14.9,,,,
8,メイショウピリカ,2026年6月28日,小倉,3歳上1勝クラス,芝1800,良,9.0,3.0,2,今村 聖奈,,486,1:47.5,,,,
8,メイショウピリカ,2026年6月21日,阪神,3歳上1勝クラス,芝2000,稍重,8.0,5.0,2,今村 聖奈,,484,2:02.4,,,,
8,メイショウピリカ,2026年5月23日,新潟,4歳上1勝クラス,ダ1800,稍重,15.0,5.0,9,今村 聖奈,,484,1:54.7,,,,
8,メイショウピリカ,2026年4月18日,福島,4歳上1勝クラス,ダ1700,良,15.0,9.0,6,今村 聖奈,,474,1:46.6,,,,
8,メイショウピリカ,2026年3月8日,阪神,4歳上1勝クラス,ダ2000,良,9.0,6.0,7,太宰 啓介,,482,2:09.3,,,,
8,メイショウピリカ,2026年2月7日,小倉,4歳上1勝クラス,芝2000,稍重,18.0,10.0,9,古川 吉洋,,478,2:02.2,,,,
8,メイショウピリカ,2026年1月11日,京都,4歳上1勝クラス,芝2000,良,14.0,14.0,7,古川 吉洋,,488,2:02.8,,,,
8,メイショウピリカ,2025年12月27日,阪神,3歳上1勝クラス,芝1800,良,15.0,8.0,13,和田 陽希,,486,1:47.6,,,,
8,メイショウピリカ,2025年12月14日,中京,3歳上1勝クラス,芝2000,稍重,18.0,13.0,4,和田 陽希,,484,2:01.5,,,,
8,メイショウピリカ,2025年9月14日,阪神,3歳上1勝クラス,芝1600,良,14.0,12.0,14,古川 吉洋,,470,1:35.8,,,,
8,メイショウピリカ,2025年8月23日,札幌,3歳上1勝クラス,芝1800,稍重,13.0,10.0,11,古川 吉洋,,482,1:51.1,,,,
8,メイショウピリカ,2025年8月3日,札幌,3歳上1勝クラス,芝2000,良,11.0,9.0,11,古川 吉洋,,488,2:02.0,,,,
8,メイショウピリカ,2025年4月13日,阪神,忘れな草賞,芝2000,稍重,8.0,7.0,6,武 豊,,478,2:04.2,,,,
8,メイショウピリカ,2025年3月29日,阪神,君子蘭賞,芝1800,良,14.0,9.0,9,武 豊,,476,1:46.7,,,,
8,メイショウピリカ,2025年1月26日,小倉,3歳未勝利,芝1800,良,14.0,13.0,11,太宰 啓介,,472,1:50.5,,,,
8,メイショウピリカ,2024年12月28日,京都,2歳新馬,芝2000,良,16.0,10.0,10,太宰 啓介,,478,2:05.4,,,,
8,レザンクレール,2026年5月2日,新潟,4歳上1勝クラス,芝1000,稍重,16.0,12.0,13,今村 聖奈,,420,58.0,,,,
8,レザンクレール,2026年3月14日,中京,4歳上1勝クラス,ダ1200,良,16.0,10.0,13,亀田 温心,,428,1:13.7,,,,
8,レザンクレール,2026年1月10日,京都,4歳上1勝クラス,ダ1200,良,15.0,15.0,7,鷲頭 虎太,,430,1:13.3,,,,
8,レザンクレール,2025年11月15日,福島,3歳上1勝クラス,芝1200,良,16.0,15.0,11,川端 海翼,,438,1:09.8,,,,
8,レザンクレール,2025年7月13日,小倉,3歳上1勝クラス,芝1200,良,15.0,13.0,15,北村 友一,,440,1:10.8,,,,
8,レザンクレール,2025年5月11日,京都,4歳上1勝クラス,ダ1400,稍重,14.0,8.0,14,M.デムーロ,,434,1:28.5,,,,
8,レザンクレール,2025年1月12日,中京,4歳上1勝クラス,芝1400,良,18.0,14.0,12,A.ルメートル,,424,1:23.5,,,,
8,レザンクレール,2024年10月12日,新潟,朝日岳特別,芝1200,良,18.0,8.0,15,亀田 温心,,428,1:09.8,,,,
8,ヴィーナスバブル,2026年6月28日,小倉,3歳上1勝クラス,芝1800,良,9.0,8.0,8,田山 旺佑,,440,1:47.9,,,,
8,ヴィーナスバブル,2026年5月2日,新潟,4歳上1勝クラス,ダ1800,重,15.0,9.0,11,田山 旺佑,,434,1:57.5,,,,
8,ヴィーナスバブル,2026年4月11日,阪神,4歳上1勝クラス,ダ1800,重,11.0,8.0,5,田山 旺佑,,434,1:52.9,,,,
8,ヴィーナスバブル,2026年1月24日,京都,4歳上1勝クラス,ダ1800,良,11.0,8.0,8,永島 まなみ,,434,1:55.7,,,,
8,ヴィーナスバブル,2026年1月11日,京都,4歳上1勝クラス,芝2000,良,14.0,13.0,13,松若 風馬,,438,2:03.3,,,,
8,ヴィーナスバブル,2025年11月29日,京都,3歳上1勝クラス,芝1800,良,18.0,16.0,12,松若 風馬,,438,1:46.9,,,,
8,ヴィーナスバブル,2025年7月19日,函館,湯浜特別,芝1800,良,14.0,13.0,9,舟山 瑠泉,,440,1:48.1,,,,
8,ヴィーナスバブル,2025年6月28日,函館,3歳上1勝クラス,芝1800,稍重,16.0,14.0,9,松若 風馬,,434,1:47.9,,,,
8,ヴィーナスバブル,2025年6月15日,函館,八雲特別,芝1800,良,13.0,11.0,10,松若 風馬,,432,1:47.6,,,,
8,タマモヒロイン,2026年3月18日,笠松,関ケ原宿特別,ダ1400,稍重,8.0,,1,筒井 勇介,,445,1:29.3,,,,
8,ミッキーマーメイド,2026年2月1日,東京,セントポーリ,芝1800,良,12.0,5.0,5,松山 弘平,,466,1:47.1,,,,
8,エスコーラ,2024年12月15日,中山,ディセンバー,芝1800,良,16.0,5.0,11,戸崎 圭太,,514,1:46.4,,,,
8,エスコーラ,2024年10月27日,京都,カシオペアS,芝1800,良,18.0,8.0,7,幸 英明,,514,1:45.4,,,,
8,エスコーラ,2024年6月15日,京都,米子S,芝1600,良,16.0,7.0,9,幸 英明,,520,1:32.2,,,,
8,エスコーラ,2024年2月10日,京都,洛陽S,芝1600,良,18.0,1.0,7,西村 淳也,,520,1:33.1,,,,
8,エスコーラ,2023年12月9日,阪神,リゲルS,芝1600,良,13.0,2.0,3,西村 淳也,,514,1:33.3,,,,
8,エスコーラ,2022年8月14日,小倉,不知火S,芝1800,良,13.0,1.0,1,福永 祐一,,518,1:48.4,,,,
8,エスコーラ,2021年10月31日,東京,国立特別,芝1600,良,8.0,1.0,1,川田 将雅,,500,1:33.5,,,,
